Episode,Headline,Upload Date,Script Length,Video Path,YouTube URL,Views,Retention,Status
1042,"Market Crash",2025-10-31 15:24:16,40,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\MAX_HEADROOM_20251031_152122.mp4",https://youtube.com/watch?v=wqv-YrtdJEY,0,0,Active
2000,"Market Crash",2025-10-31 15:53:36,40,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\MAX_HEADROOM_20251031_155102.mp4",https://youtube.com/watch?v=kFoHBqCIF9Q,0,0,Active
2000,"Market Crash",2025-10-31 15:57:21,40,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTIMATE_SHORT_20251031_155447.mp4",https://youtube.com/watch?v=l1gKPUM_oDM,0,0,Active
3000,"Digital Apocalypse",2025-10-31 16:39:34,38,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTIMATE_SHORT_20251031_163707.mp4",https://youtube.com/watch?v=Mx5NT_897iA,0,0,Active
4000,"Digital Apocalypse",2025-10-31 16:48:49,38,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTIMATE_SHORT_20251031_164618.mp4",https://youtube.com/watch?v=1L98KTaJan0,0,0,Active
5000,"Major Cyber Attack",2025-10-31 16:58:08,39,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTIMATE_SHORT_20251031_165606.mp4",https://youtube.com/watch?v=JmSd6BhB3EQ,0,0,Active
5001,"Major Cyber Attack",2025-10-31 17:10:55,39,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTIMATE_SHORT_20251031_170835.mp4",https://youtube.com/watch?v=R19EaCxzyjQ,0,0,Active
5002,"Government Shutdown Day 15",2025-10-31 17:15:14,50,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTIMATE_SHORT_20251031_171229.mp4",https://youtube.com/watch?v=qvoL9BgsVWQ,0,0,Active
5021,"Digital Apocalypse",2025-10-31 17:34:42,48,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTRA_20251031_173423.mp4",https://youtube.com/watch?v=4_rIrOH5hag,0,0,Active
12000,"Major Cyber Attack",2025-10-31 17:42:23,49,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTRA_20251031_174157.mp4",https://youtube.com/watch?v=dDA_kf1Ftcs,0,0,Active
18001,"Recession Signals",2025-10-31 17:43:00,48,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTRA_20251031_174239.mp4",https://youtube.com/watch?v=1tcKYAb9ZW0,0,0,Active
24003,"Major Cyber Attack",2025-10-31 17:43:34,49,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTRA_20251031_174316.mp4",https://youtube.com/watch?v=poLe3_S2L0k,0,0,Active
30006,"Digital Apocalypse",2025-10-31 17:44:07,48,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTRA_20251031_174350.mp4",https://youtube.com/watch?v=6EKSi8CXvTE,0,0,Active
36010,"Government Shutdown Day 15",2025-10-31 17:44:40,50,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\ULTRA_20251031_174423.mp4",https://youtube.com/watch?v=owBSGMTVYYM,0,0,Active
7000,"Government Shutdown",2025-10-31 21:35:52,48,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\VERIFIED_20251031_213532.mp4",https://youtube.com/watch?v=LlXKY4SNiUo,0,0,Active
8000,"Government Shutdown Day 15",2025-10-31 23:27:18,50,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\SUCCESS198_20251031_232630.mp4",https://youtube.com/watch?v=dGA_rv-wxms,0,0,Active
8001,"Market Crash",2025-10-31 23:28:25,47,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\SUCCESS198_20251031_232738.mp4",https://youtube.com/watch?v=PTC86kX8n2k,0,0,Active
8002,"Recession Signals",2025-10-31 23:29:26,48,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\SUCCESS198_20251031_232846.mp4",https://youtube.com/watch?v=A_UISTE-D0I,0,0,Active
8003,"Digital Apocalypse",2025-10-31 23:30:54,48,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\SUCCESS198_20251031_232946.mp4",Pending,0,0,Active
8004,"Major Cyber Attack",2025-10-31 23:32:25,49,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\SUCCESS198_20251031_233131.mp4",https://youtube.com/watch?v=UtlXs5apKX8,0,0,Active
99999,"Digital Apocalypse",2025-11-01 01:01:40,48,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\MAX_HEADROOM_20251101_005837.mp4",https://youtube.com/watch?v=-KR9nCyC-8M,0,0,Active
100000,"Government Shutdown Day 15",2025-11-01 07:41:41,50,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\MAX_HEADROOM_20251101_073846.mp4",https://youtube.com/watch?v=cMzlIoIMnY0,0,0,Active
1000,"Digital Apocalypse",2025-11-01 23:09:41,48,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\MAX_HEADROOM_20251101_230510.mp4",https://youtube.com/watch?v=x08GoRwmxaw,0,0,Active
1000,"Government Shutdown Day 15",2025-11-01 23:23:46,50,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\MAX_HEADROOM_20251101_231928.mp4",https://youtube.com/watch?v=k0KRKrZvXc0,0,0,Active
9999,"Government Shutdown Day 15",2025-11-02 00:22:11,50,"F:\AI_Oracle_Root\scarify\abraham_horror\videos\MAX_HEADROOM_20251102_001916.mp4",https://youtube.com/watch?v=h_on3IonE68,0,0,Active
